// ***** BenchmarkRunner: Start   *****
// Found benchmarks:
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]

// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** Building 4 benchmark(s) in Parallel: Start   *****
// ***** Done, took 00:00:06 (6.28 sec)   *****
// **************************
// Benchmark: ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-JPVHNJ(InvocationCount=500, UnrollFactor=1)

IdleWarmup  1: 500 op, 363500.00 ns, 727.0000 ns/op
IdleWarmup  2: 500 op, 7200.00 ns, 14.4000 ns/op
IdleWarmup  3: 500 op, 2200.00 ns, 4.4000 ns/op
IdleWarmup  4: 500 op, 2600.00 ns, 5.2000 ns/op
IdleWarmup  5: 500 op, 2600.00 ns, 5.2000 ns/op
IdleWarmup  6: 500 op, 6200.00 ns, 12.4000 ns/op
IdleWarmup  7: 500 op, 2600.00 ns, 5.2000 ns/op

IdleTarget  1: 500 op, 2900.00 ns, 5.8000 ns/op
IdleTarget  2: 500 op, 2800.00 ns, 5.6000 ns/op
IdleTarget  3: 500 op, 10700.00 ns, 21.4000 ns/op
IdleTarget  4: 500 op, 2800.00 ns, 5.6000 ns/op
IdleTarget  5: 500 op, 2500.00 ns, 5.0000 ns/op
IdleTarget  6: 500 op, 2200.00 ns, 4.4000 ns/op
IdleTarget  7: 500 op, 2700.00 ns, 5.4000 ns/op
IdleTarget  8: 500 op, 2600.00 ns, 5.2000 ns/op
IdleTarget  9: 500 op, 2900.00 ns, 5.8000 ns/op
IdleTarget 10: 500 op, 3000.00 ns, 6.0000 ns/op
IdleTarget 11: 500 op, 2400.00 ns, 4.8000 ns/op
IdleTarget 12: 500 op, 2700.00 ns, 5.4000 ns/op
IdleTarget 13: 500 op, 2700.00 ns, 5.4000 ns/op
IdleTarget 14: 500 op, 2700.00 ns, 5.4000 ns/op
IdleTarget 15: 500 op, 2700.00 ns, 5.4000 ns/op
IdleTarget 16: 500 op, 2800.00 ns, 5.6000 ns/op
IdleTarget 17: 500 op, 3600.00 ns, 7.2000 ns/op
IdleTarget 18: 500 op, 3000.00 ns, 6.0000 ns/op
IdleTarget 19: 500 op, 2900.00 ns, 5.8000 ns/op
IdleTarget 20: 500 op, 3400.00 ns, 6.8000 ns/op

MainWarmup  1: 500 op, 357375200.00 ns, 714.7504 us/op
MainWarmup  2: 500 op, 272238900.00 ns, 544.4778 us/op
MainWarmup  3: 500 op, 247727200.00 ns, 495.4544 us/op
MainWarmup  4: 500 op, 237648500.00 ns, 475.2970 us/op
MainWarmup  5: 500 op, 235028100.00 ns, 470.0562 us/op
MainWarmup  6: 500 op, 232628500.00 ns, 465.2570 us/op
MainWarmup  7: 500 op, 220224500.00 ns, 440.4490 us/op
MainWarmup  8: 500 op, 226370600.00 ns, 452.7412 us/op
MainWarmup  9: 500 op, 219538600.00 ns, 439.0772 us/op
MainWarmup 10: 500 op, 218417100.00 ns, 436.8342 us/op
MainWarmup 11: 500 op, 220325000.00 ns, 440.6500 us/op
MainWarmup 12: 500 op, 218208000.00 ns, 436.4160 us/op

// BeforeMainRun
MainTarget  1: 500 op, 234915000.00 ns, 469.8300 us/op
MainTarget  2: 500 op, 225544300.00 ns, 451.0886 us/op
MainTarget  3: 500 op, 224861000.00 ns, 449.7220 us/op
MainTarget  4: 500 op, 221377700.00 ns, 442.7554 us/op
MainTarget  5: 500 op, 227058000.00 ns, 454.1160 us/op
MainTarget  6: 500 op, 251684100.00 ns, 503.3682 us/op
MainTarget  7: 500 op, 295502900.00 ns, 591.0058 us/op
MainTarget  8: 500 op, 271603500.00 ns, 543.2070 us/op
MainTarget  9: 500 op, 269277400.00 ns, 538.5548 us/op
MainTarget 10: 500 op, 265829800.00 ns, 531.6596 us/op
MainTarget 11: 500 op, 255001400.00 ns, 510.0028 us/op
MainTarget 12: 500 op, 236500300.00 ns, 473.0006 us/op
MainTarget 13: 500 op, 223274700.00 ns, 446.5494 us/op
MainTarget 14: 500 op, 224768700.00 ns, 449.5374 us/op
MainTarget 15: 500 op, 223293300.00 ns, 446.5866 us/op
MainTarget 16: 500 op, 215726400.00 ns, 431.4528 us/op
MainTarget 17: 500 op, 216893700.00 ns, 433.7874 us/op
MainTarget 18: 500 op, 218681500.00 ns, 437.3630 us/op
MainTarget 19: 500 op, 217881900.00 ns, 435.7638 us/op
MainTarget 20: 500 op, 215571300.00 ns, 431.1426 us/op
MainTarget 21: 500 op, 216472000.00 ns, 432.9440 us/op
MainTarget 22: 500 op, 219042800.00 ns, 438.0856 us/op
MainTarget 23: 500 op, 223527000.00 ns, 447.0540 us/op
MainTarget 24: 500 op, 217631800.00 ns, 435.2636 us/op
MainTarget 25: 500 op, 217057700.00 ns, 434.1154 us/op
MainTarget 26: 500 op, 216149000.00 ns, 432.2980 us/op
MainTarget 27: 500 op, 220150700.00 ns, 440.3014 us/op
MainTarget 28: 500 op, 241679100.00 ns, 483.3582 us/op
MainTarget 29: 500 op, 222292700.00 ns, 444.5854 us/op
MainTarget 30: 500 op, 226225000.00 ns, 452.4500 us/op
MainTarget 31: 500 op, 221927500.00 ns, 443.8550 us/op
MainTarget 32: 500 op, 228472200.00 ns, 456.9444 us/op
MainTarget 33: 500 op, 220913900.00 ns, 441.8278 us/op
MainTarget 34: 500 op, 216935100.00 ns, 433.8702 us/op
MainTarget 35: 500 op, 221904300.00 ns, 443.8086 us/op
MainTarget 36: 500 op, 218132900.00 ns, 436.2658 us/op
MainTarget 37: 500 op, 215842200.00 ns, 431.6844 us/op

// AfterMainRun
Result  1: 500 op, 234911800.00 ns, 469.8236 us/op
Result  2: 500 op, 225541100.00 ns, 451.0822 us/op
Result  3: 500 op, 224857800.00 ns, 449.7156 us/op
Result  4: 500 op, 221374500.00 ns, 442.7490 us/op
